reputacion,clasificacion,rangoedad,superliga
2,Muy bueno,Joven,Superliga-Si
2,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
3,Muy bueno,Joven,Superliga-No
3,Muy bueno,Joven,Superliga-No
3,Muy bueno,Joven,Superliga-Si
2,Muy bueno,Joven,Superliga-Si
2,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-Si
Superliga-Si,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
3,Muy bueno,Joven,Superliga-No
3,Muy bueno,Joven,Superliga-Si
Superliga-Si,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-Si
2,Muy bueno,Joven,Superliga-No
3,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Experimentado,Superliga-No
Superliga-Si,Muy bueno,Experimentado,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
3,Muy bueno,Muy experimentado,Superliga-No
3,Muy bueno,Muy experimentado,Superliga-No
2,Muy bueno,Experimentado,Superliga-Si
2,Muy bueno,Muy experimentado,Superliga-No
3,Muy bueno,Experimentado,Superliga-No
3,Muy bueno,Experimentado,Superliga-No
4,Muy bueno,Experimentado,Superliga-No
2,Muy bueno,Experimentado,Superliga-No
3,Muy bueno,Experimentado,Superliga-No
2,Muy bueno,Experimentado,Superliga-No
2,Muy bueno,Experimentado,Superliga-No
3,Muy bueno,Muy experimentado,Superliga-No
3,Muy bueno,Experimentado,Superliga-No
3,Muy bueno,Experimentado,Superliga-No
3,Muy bueno,Experimentado,Superliga-No
3,Muy bueno,Experimentado,Superliga-No
2,Muy bueno,Experimentado,Superliga-No
2,Muy bueno,Experimentado,Superliga-Si
3,Muy bueno,Experimentado,Superliga-No
3,Muy bueno,Experimentado,Superliga-No
2,Muy bueno,Joven,Superliga-No
2,Muy bueno,Experimentado,Superliga-No
2,Muy bueno,Experimentado,Superliga-No
3,Muy bueno,Experimentado,Superliga-No
2,Muy bueno,Experimentado,Superliga-No
3,Muy bueno,Experimentado,Superliga-No
3,Muy bueno,Joven,Superliga-No
3,Muy bueno,Experimentado,Superliga-Si
2,Muy bueno,Joven,Superliga-Si
3,Muy bueno,Experimentado,Superliga-Si
2,Muy bueno,Joven,Superliga-No
3,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Experimentado,Superliga-No
2,Muy bueno,Experimentado,Superliga-No
2,Muy bueno,Joven,Superliga-Si
2,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Experimentado,Superliga-No
Superliga-Si,Muy bueno,Muy experimentado,Superliga-No
Superliga-Si,Muy bueno,Experimentado,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
2,Muy bueno,Experimentado,Superliga-No
Superliga-Si,Muy bueno,Muy joven,Superliga-Si
2,Muy bueno,Joven,Superliga-Si
Superliga-Si,Muy bueno,Joven,Superliga-Si
2,Muy bueno,Joven,Superliga-Si
Superliga-Si,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-Si
Superliga-Si,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-Si
Superliga-Si,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-Si
2,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-Si
Superliga-Si,Muy bueno,Joven,Superliga-Si
Superliga-Si,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
3,Muy bueno,Joven,Superliga-Si
2,Muy bueno,Joven,Superliga-Si
Superliga-Si,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-Si
Superliga-Si,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-Si
Superliga-Si,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-Si
2,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
3,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
3,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
3,Muy bueno,Joven,Superliga-Si
2,Muy bueno,Joven,Superliga-Si
Superliga-Si,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
3,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-Si
Superliga-Si,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-Si
Superliga-Si,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
3,Muy bueno,Joven,Superliga-Si
2,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-No
2,Muy bueno,Joven,Superliga-Si
Superliga-Si,Muy bueno,Experimentado,Superliga-No
Superliga-Si,Muy bueno,Joven,Superliga-No
2,Muy bueno,Muy experimentado,Superliga-No
